순번,제목,조회수
1,[MMA 2021] IU -  strawberry moon + Celebrity,조회수 58만회
2,아이유 노래모음 30곡 (가사포함) | IU Playlist 30 Songs (Korean Lyrics),조회수 110만회
3,"아이유(IU)의 킬링보이스를 라이브로! - 하루 끝, 너의 의미, 스물셋, 밤편지, 팔레트, 가을 아침, 삐삐, Blueming, 에잇, Coin, 라일락 ㅣ 딩고뮤직",조회수 3400만회
4,"[MMA2021] 아이유(IU) | strawberry moon, Celebrity, 라일락(LILAC)",조회수 15만회
5,[MMA 2021] IU - Lilac,조회수 40만회
6,[MV] IU(아이유) _ Celebrity,조회수 1.1억회
7,"[IU] '내 손을 잡아(Hold My Hand)' Live Clip (2019 IU Tour Concert 'Love, poem')",조회수 3582만회
8,[PLAYLIST] 아이유노래모음 ver.2,조회수 11만회
9,[MV] IU(아이유) _ strawberry moon,조회수 2083만회
10,[PLAYLIST] 아이유노래모음,조회수 352만회
11,[IU] '꿈빛 파티시엘' Bonus Cut #shorts,조회수 74만회
12,[IU] '꿈빛 파티시엘' dlwlrma Clip,조회수 305만회
13,IU strawberry moon Lyrics (아이유 스트로베리 문 가사) [Color Coded Lyrics/Han/Rom/Eng],조회수 118만회
14,[MMA  2021_멜론뮤직어워드 2021] 아이유 (IU) - strawberry moon (첫 공식 무대),조회수 17만회
15,아이유 노래모음 30곡 (가사포함) | IU Playlist 30 Songs (Korean Lyrics),조회수 79만회
16,[Playlist] 슬슬 연말 분위기를 내볼까요? | 퍼펙트 크리스마스 캐롤 플레이리스트🎄🎅🎁 | Best Christmas Pop Songs Of All Time,조회수 1331만회
17,✔ 드라마 OST  - 영화 사운드 트랙 컬렉션 (광고 없음) - Korean Drama OST,조회수 1372만회
18,[Playlist] IU (아이유) Best Songs 2021 - 아이유 최고의 노래모음 - IU 최고의 노래 컬렉션 - strawberry moon,조회수 6.8만회
19,[MV] IU(아이유)_LILAC(라일락),조회수 6765만회
20,『광고없음』 2021 아이유 IU 노래모음ㅣBest Songs of IUㅣPlaylist,조회수 369만회
21,[MV] IU(아이유) _ Blueming(블루밍),조회수 1.3억회
22,IU (아이유) PLAYLIST 2021 UPDATED | 아이유 노래 모음,조회수 41만회
23,PLAYLIST 아이유 인기곡 모음 20곡 | 내가 좋아하는 순서대로 | ❤❤❤💖💖,조회수 5.5만회
24,"아이유 노래 모음 BEST 50곡, (IU song collection 50 Playlist ) 보고듣는 소울뮤직TV",조회수 3만회
25,[IU] '꿈빛 파티시엘' dlwlrma Clip,조회수 305만회
26,[𝐅𝐮𝐥𝐥] 아이유 노래모음 | IU songs playlist,조회수 121만회
27,[𝐅𝐮𝐥𝐥] 아이유 노래모음 | IU songs playlist,조회수 6.7만회
28,1시간 l IU (아이유) - 스트로베리 문 (strawberry moon) / 가사 Lyrics,조회수 66만회
