127.0.0.1 - - [14/Jan/2022:11:42:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/N1_main.jsp HTTP/1.1" 200 12724
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/img/search.png HTTP/1.1" 200 7575
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/img/restaurant.png HTTP/1.1" 200 11828
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/assets/css/overlay.css HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/img/location.png HTTP/1.1" 200 20218
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/assets/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/assets/css/N1_main.css HTTP/1.1" 200 4950
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/img/hotel.png HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /Travel_Map/img/cafe.png HTTP/1.1" 200 15768
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:35 +0900] "GET /Travel_Map/MapdataCon?type=cafe HTTP/1.1" 200 32932
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:49 +0900] "GET /Travel_Map/Login.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:49 +0900] "GET /Travel_Map/assets/css/Login.css HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:49 +0900] "GET /Travel_Map/img/travelbackgroundimg.png HTTP/1.1" 200 3340806
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:51 +0900] "GET /Travel_Map/mypage_logout.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:51 +0900] "GET /Travel_Map/assets/css/N3_mypage_logout.css HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [14/Jan/2022:11:42:51 +0900] "GET /Travel_Map/img/Trip-person.png HTTP/1.1" 200 434353
